Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,medium,treatment,fraction,biol replicate,tech replicate,strain,geo_loc_name,collection_date
SRR24302085,25095985,1279895235,51,421,SRX20097280,GSM7226575,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428857,SAMN34369178,simple,1902,Streptomyces coelicolor,GSM7226575,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 1, tech replicate 2",A3(2) MT1110,SMM,cold-shock,RPF,1,2,A3(2) MT1110,missing,missing
SRR24302084,26476694,1350311394,51,430,SRX20097281,GSM7226576,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428858,SAMN34369177,simple,1902,Streptomyces coelicolor,GSM7226576,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 2, tech replicate 2",A3(2) MT1110,SMM,cold-shock,RPF,2,2,A3(2) MT1110,missing,missing
SRR24302083,60235850,3011792500,50,1040,SRX20097282,GSM7226577,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428859,SAMN34369176,simple,1902,Streptomyces coelicolor,GSM7226577,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 1, tech replicate 3",A3(2) MT1110,SMM,control,RPF,1,3,A3(2) MT1110,missing,missing
SRR24302082,72221521,3611076050,50,1202,SRX20097283,GSM7226578,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428862,SAMN34369175,simple,1902,Streptomyces coelicolor,GSM7226578,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 2, tech replicate 3",A3(2) MT1110,SMM,control,RPF,2,3,A3(2) MT1110,missing,missing
SRR24302081,68347473,3417373650,50,1185,SRX20097284,GSM7226579,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428861,SAMN34369174,simple,1902,Streptomyces coelicolor,GSM7226579,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 1, tech replicate 3",A3(2) MT1110,SMM,control,RPF,1,3,A3(2) MT1110,missing,missing
SRR24302080,3536417,176820850,50,59,SRX20097285,GSM7226580,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428860,SAMN34369173,simple,1902,Streptomyces coelicolor,GSM7226580,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 2, tech replicate 3",A3(2) MT1110,SMM,control,RPF,2,3,A3(2) MT1110,missing,missing
SRR24302079,63659226,3182961300,50,1087,SRX20097286,GSM7226581,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428863,SAMN34369172,simple,1902,Streptomyces coelicolor,GSM7226581,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 1, tech replicate 3",A3(2) MT1110,SMM,cold-shock,RPF,1,3,A3(2) MT1110,missing,missing
SRR24302078,62695278,3134763900,50,1054,SRX20097287,GSM7226582,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428864,SAMN34369171,simple,1902,Streptomyces coelicolor,GSM7226582,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 2, tech replicate 3",A3(2) MT1110,SMM,cold-shock,RPF,2,3,A3(2) MT1110,missing,missing
SRR24302077,83853492,4192674600,50,1474,SRX20097288,GSM7226583,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428865,SAMN34369170,simple,1902,Streptomyces coelicolor,GSM7226583,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 1, tech replicate 4",A3(2) MT1110,SMM,control,RPF,1,4,A3(2) MT1110,missing,missing
SRR24302076,101383665,5069183250,50,1754,SRX20097289,GSM7226584,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428867,SAMN34369169,simple,1902,Streptomyces coelicolor,GSM7226584,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, RPF fraction, biol replicate 2, tech replicate 4",A3(2) MT1110,SMM,control,RPF,2,4,A3(2) MT1110,missing,missing
SRR24302075,56204930,2810246500,50,977,SRX20097290,GSM7226585,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428866,SAMN34369168,simple,1902,Streptomyces coelicolor,GSM7226585,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 1, tech replicate 4",A3(2) MT1110,SMM,control,RPF,1,4,A3(2) MT1110,missing,missing
SRR24302074,172265,8613250,50,3,SRX20097291,GSM7226586,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428868,SAMN34369167,simple,1902,Streptomyces coelicolor,GSM7226586,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, RPF fraction, biol replicate 2, tech replicate 4",A3(2) MT1110,SMM,control,RPF,2,4,A3(2) MT1110,missing,missing
SRR24302073,66724062,3336203100,50,1153,SRX20097292,GSM7226587,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428869,SAMN34369166,simple,1902,Streptomyces coelicolor,GSM7226587,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 1, tech replicate 4",A3(2) MT1110,SMM,cold-shock,RPF,1,4,A3(2) MT1110,missing,missing
SRR24302072,50050698,2502534900,50,847,SRX20097293,GSM7226588,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428870,SAMN34369165,simple,1902,Streptomyces coelicolor,GSM7226588,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, RPF fraction, biol replicate 2, tech replicate 4",A3(2) MT1110,SMM,cold-shock,RPF,2,4,A3(2) MT1110,missing,missing
SRR24302071,28073902,4267233104,76,1574,SRX20097294,GSM7226589,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428871,SAMN34369164,simple,1902,Streptomyces coelicolor,GSM7226589,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, total RNA, biol replicate 1",A3(2) MT1110,SMM,control,total RNA,1,,A3(2) MT1110,missing,missing
SRR24302070,25119134,3818108368,76,1447,SRX20097295,GSM7226590,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428872,SAMN34369163,simple,1902,Streptomyces coelicolor,GSM7226590,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 0 min, total RNA, biol replicate 2",A3(2) MT1110,SMM,control,total RNA,2,,A3(2) MT1110,missing,missing
SRR24302069,30409152,4622191104,76,1785,SRX20097296,GSM7226591,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428873,SAMN34369162,simple,1902,Streptomyces coelicolor,GSM7226591,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, total RNA, biol replicate 1",A3(2) MT1110,SMM,control,total RNA,1,,A3(2) MT1110,missing,missing
SRR24302068,15289920,2324067840,76,851,SRX20097297,GSM7226592,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428874,SAMN34369161,simple,1902,Streptomyces coelicolor,GSM7226592,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, control, 120 min, total RNA, biol replicate 2",A3(2) MT1110,SMM,control,total RNA,2,,A3(2) MT1110,missing,missing
SRR24302067,42052784,6392023168,76,2365,SRX20097298,GSM7226593,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428876,SAMN34369160,simple,1902,Streptomyces coelicolor,GSM7226593,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, total RNA, biol replicate 1",A3(2) MT1110,SMM,cold-shock,total RNA,1,,A3(2) MT1110,missing,missing
SRR24302066,35038675,5325878600,76,2030,SRX20097299,GSM7226594,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP434425,PRJNA961729,,"",SRS17428875,SAMN34369159,simple,1902,Streptomyces coelicolor,GSM7226594,"School of Applied Science, University of Brighton",SRA1627359,02,2024,Evans,A3(2) MT1110,"S. coelicolor A3(2) grown in liquid SMM medium, cold-shock, 120 min, total RNA, biol replicate 2",A3(2) MT1110,SMM,cold-shock,total RNA,2,,A3(2) MT1110,missing,missing
