Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,age,biomaterial_provider,sex,tissue,BioSampleModel,cell_line,isolate
SRR1630836,36453062,1404815627,38,890,SRX739565,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
SRR1630837,34879405,1332093207,38,852,SRX739597,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS727029,SAMN02741883,simple,10090,Mus musculus,QTI-Seq MEF starvation,Cornell University,SRA160745,10,2014,Wan,"","",mouse,N/A,N/A,not determined,fibroblasts,Model organism or animal,,
SRR1630828,25397982,704968765,27,494,SRX740745,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630830,32412694,897865092,27,582,SRX740746,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630829,32296577,902816339,27,629,SRX740747,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630831,31890145,898082627,28,630,SRX740748,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630833,31939889,884393098,27,575,SRX740749,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630832,45328469,1271194976,28,890,SRX740750,,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630838,49225389,1902680756,38,1288,SRX740751,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630840,50702750,1881784350,37,1214,SRX740752,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
SRR1630839,44144159,1710995419,38,1117,SRX740753,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049168,PRJNA246023,,"",SRS728449,SAMN02741865,simple,9606,Homo sapiens,QTI-Seq hek293 starvation,Cornell University,SRA160745,10,2014,Wan,"",hek293 of amino acid starvation,,N/A,N/A,not determined,kidney,Human,Hek293,N/A
