Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,treatment,time,library type,geo_loc_name,collection_date
SRR22990340,157262753,15726275300,100,5030,SRX18946414,GSM6918950,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370412,SAMN32603235,simple,10090,Mus musculus,GSM6918950,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990339,197530383,19753038300,100,6673,SRX18946415,GSM6918951,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370414,SAMN32603234,simple,10090,Mus musculus,GSM6918951,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990338,166405069,16640506900,100,5110,SRX18946416,GSM6918952,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370415,SAMN32603233,simple,10090,Mus musculus,GSM6918952,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 1 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990337,172238333,17223833300,100,5327,SRX18946417,GSM6918953,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370416,SAMN32603232,simple,10090,Mus musculus,GSM6918953,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 1 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990336,188095901,18809590100,100,5827,SRX18946418,GSM6918954,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370417,SAMN32603231,simple,10090,Mus musculus,GSM6918954,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 1 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990335,180788025,18078802500,100,5552,SRX18946419,GSM6918955,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370418,SAMN32603230,simple,10090,Mus musculus,GSM6918955,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 1 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,1 day post-infection,Ribo-seq,missing,missing
SRR22990334,37256632,1862831600,50,646,SRX18946420,GSM6918932,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370419,SAMN32603253,simple,10090,Mus musculus,GSM6918932,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 2 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990333,36778717,1838935850,50,646,SRX18946421,GSM6918933,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370421,SAMN32603252,simple,10090,Mus musculus,GSM6918933,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 2 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990332,40845703,2042285150,50,716,SRX18946422,GSM6918934,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370420,SAMN32603251,simple,10090,Mus musculus,GSM6918934,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 2 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990331,37812596,1890629800,50,667,SRX18946423,GSM6918935,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370422,SAMN32603250,simple,10090,Mus musculus,GSM6918935,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Early set, 2 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990330,43147290,2157364500,50,752,SRX18946424,GSM6918936,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370423,SAMN32603249,simple,10090,Mus musculus,GSM6918936,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990329,42022065,2101103250,50,742,SRX18946425,GSM6918937,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370424,SAMN32603248,simple,10090,Mus musculus,GSM6918937,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990328,40435959,2021797950,50,711,SRX18946426,GSM6918938,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370426,SAMN32603247,simple,10090,Mus musculus,GSM6918938,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990327,32310873,1615543650,50,570,SRX18946427,GSM6918939,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370425,SAMN32603246,simple,10090,Mus musculus,GSM6918939,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990326,182662747,18266274700,100,5579,SRX18946428,GSM6918956,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370427,SAMN32603229,simple,10090,Mus musculus,GSM6918956,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 2 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990325,188537996,18853799600,100,6334,SRX18946429,GSM6918957,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370428,SAMN32603228,simple,10090,Mus musculus,GSM6918957,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 2 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990324,191548468,19154846800,100,6090,SRX18946430,GSM6918958,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370429,SAMN32603227,simple,10090,Mus musculus,GSM6918958,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 2 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990323,167291216,16729121600,100,5450,SRX18946431,GSM6918959,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370431,SAMN32603226,simple,10090,Mus musculus,GSM6918959,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Early set, 2 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,2 days post-infection,Ribo-seq,missing,missing
SRR22990322,242357466,24235746600,100,7401,SRX18946432,GSM6918960,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370430,SAMN32603225,simple,10090,Mus musculus,GSM6918960,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, control, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990321,195119890,19511989000,100,5987,SRX18946433,GSM6918961,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370432,SAMN32603224,simple,10090,Mus musculus,GSM6918961,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, control, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990320,225428981,22542898100,100,6930,SRX18946434,GSM6918962,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370433,SAMN32603223,simple,10090,Mus musculus,GSM6918962,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, control, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990319,155362772,15536277200,100,4871,SRX18946435,GSM6918963,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370434,SAMN32603222,simple,10090,Mus musculus,GSM6918963,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, control, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",None,None,Ribo-seq,missing,missing
SRR22990318,35695653,1784782650,50,621,SRX18946436,GSM6918940,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370435,SAMN32603245,simple,10090,Mus musculus,GSM6918940,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 5 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990317,41836712,2091835600,50,734,SRX18946437,GSM6918941,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370436,SAMN32603244,simple,10090,Mus musculus,GSM6918941,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 5 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990316,38442547,1922127350,50,674,SRX18946438,GSM6918942,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370437,SAMN32603243,simple,10090,Mus musculus,GSM6918942,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 5 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990315,39426463,1971323150,50,686,SRX18946439,GSM6918943,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370438,SAMN32603242,simple,10090,Mus musculus,GSM6918943,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 5 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990314,38325006,1916250300,50,664,SRX18946440,GSM6918944,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370439,SAMN32603241,simple,10090,Mus musculus,GSM6918944,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 7 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
SRR22990313,37527851,1876392550,50,648,SRX18946441,GSM6918945,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370440,SAMN32603240,simple,10090,Mus musculus,GSM6918945,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 7 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
SRR22990312,32330377,1616518850,50,559,SRX18946442,GSM6918946,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370441,SAMN32603239,simple,10090,Mus musculus,GSM6918946,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 7 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
SRR22990311,34294918,1714745900,50,598,SRX18946443,GSM6918947,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP416035,PRJNA918681,1,"",SRS16370443,SAMN32603238,simple,10090,Mus musculus,GSM6918947,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NextSeq Ribo-seq, Late set, 7 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
SRR22990310,142590135,14259013500,100,4375,SRX18946444,GSM6918964,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370442,SAMN32603221,simple,10090,Mus musculus,GSM6918964,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 5 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990309,175020515,17502051500,100,5565,SRX18946445,GSM6918965,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370444,SAMN32603220,simple,10090,Mus musculus,GSM6918965,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 5 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990308,159067817,15906781700,100,5247,SRX18946446,GSM6918966,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370445,SAMN32603219,simple,10090,Mus musculus,GSM6918966,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 5 dpi, rep 3",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990307,175125559,17512555900,100,5356,SRX18946447,GSM6918967,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370446,SAMN32603218,simple,10090,Mus musculus,GSM6918967,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 5 dpi, rep 4",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,5 days post-infection,Ribo-seq,missing,missing
SRR22990306,150808637,15080863700,100,4633,SRX18946448,GSM6918968,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370447,SAMN32603217,simple,10090,Mus musculus,GSM6918968,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 7 dpi, rep 1",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
SRR22990305,189261943,18926194300,100,6017,SRX18946449,GSM6918969,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP416035,PRJNA918681,1,"",SRS16370448,SAMN32603216,simple,10090,Mus musculus,GSM6918969,"Hyeshik Chang Lab, School of Biological Sciences, Seoul National University",SRA1570032,12,2023,Makar,Lung,"NovaSeq Ribo-seq, Late set, 7 dpi, rep 2",Lung,Lung,"B6.Cg-Tg(K18-ACE2)2Prlmn/J (The Jackson Laboratory, #034860)",SARS-CoV-2 infection,7 days post-infection,Ribo-seq,missing,missing
