Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,lncrna probes,treatment,cell type,sequencing type,GEO Accession
SRR15208764,47842115,14352634500,150,5829,SRX11515215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553030,SAMN20342405,simple,9606,Homo sapiens,GSM5464817,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day14_RNA_rep2,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464817
SRR15208765,33728026,10118407800,150,3902,SRX11515216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553031,SAMN20342404,simple,9606,Homo sapiens,GSM5464818,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day18_RNA_rep1,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464818
SRR15208766,49484528,14845358400,150,6139,SRX11515217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553032,SAMN20342403,simple,9606,Homo sapiens,GSM5464819,GEO,SRA1262461,10,2023,"",CD34+ cell,HSPCs_day18_RNA_rep2,CD34+ cell,none,none,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464819
SRR15208767,49502033,14850609900,150,4570,SRX11515218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553033,SAMN20342402,simple,9606,Homo sapiens,GSM5464820,GEO,SRA1262461,10,2023,"",K562 cell line,shSMARCA5_shA_rep1,K562 cell line,none,SMARCA5 knockdown,K562 cell line,Poly(A)+ RNA-seq,GSM5464820
SRR15208768,56396694,16919008200,150,5096,SRX11515219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553034,SAMN20342401,simple,9606,Homo sapiens,GSM5464821,GEO,SRA1262461,10,2023,"",K562 cell line,shSMARCA5_shA_rep2,K562 cell line,none,SMARCA5 knockdown,K562 cell line,Poly(A)+ RNA-seq,GSM5464821
SRR15208769,46147074,13844122200,150,4259,SRX11515220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553035,SAMN20342400,simple,9606,Homo sapiens,GSM5464822,GEO,SRA1262461,10,2023,"",K562 cell line,shSMARCA5_shB_rep1,K562 cell line,none,SMARCA5 knockdown,K562 cell line,Poly(A)+ RNA-seq,GSM5464822
SRR15208770,51253944,15376183200,150,4622,SRX11515221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553036,SAMN20342399,simple,9606,Homo sapiens,GSM5464823,GEO,SRA1262461,10,2023,"",K562 cell line,shSMARCA5_shB_rep2,K562 cell line,none,SMARCA5 knockdown,K562 cell line,Poly(A)+ RNA-seq,GSM5464823
SRR15208771,42490998,12747299400,150,3940,SRX11515222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553037,SAMN20342398,simple,9606,Homo sapiens,GSM5464824,GEO,SRA1262461,10,2023,"",K562 cell line,shCtrl_rep1,K562 cell line,none,sh-control vector,K562 cell line,Poly(A)+ RNA-seq,GSM5464824
SRR15208772,48022848,14406854400,150,4358,SRX11515223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553038,SAMN20342397,simple,9606,Homo sapiens,GSM5464825,GEO,SRA1262461,10,2023,"",K562 cell line,shCtrl_rep2,K562 cell line,none,sh-control vector,K562 cell line,Poly(A)+ RNA-seq,GSM5464825
SRR15208773,23487821,7046346300,150,2420,SRX11515224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553039,SAMN20342396,simple,9606,Homo sapiens,GSM5464826,GEO,SRA1262461,10,2023,"",CD34+ cell,Ctrl_rep1,CD34+ cell,none,empty vector,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464826
SRR15208774,21401859,6420557700,150,2196,SRX11515225,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553040,SAMN20342395,simple,9606,Homo sapiens,GSM5464827,GEO,SRA1262461,10,2023,"",CD34+ cell,Ctrl_rep2,CD34+ cell,none,empty vector,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464827
SRR15208775,22831889,6849566700,150,2010,SRX11515226,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553041,SAMN20342394,simple,9606,Homo sapiens,GSM5464828,GEO,SRA1262461,10,2023,"",CD34+ cell,Ctrl_rep3,CD34+ cell,none,empty vector,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464828
SRR15208776,24449565,7334869500,150,2162,SRX11515227,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553042,SAMN20342393,simple,9606,Homo sapiens,GSM5464829,GEO,SRA1262461,10,2023,"",CD34+ cell,Ctrl_rep4,CD34+ cell,none,empty vector,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464829
SRR15208777,26167634,7850290200,150,2746,SRX11515228,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553043,SAMN20342392,simple,9606,Homo sapiens,GSM5464830,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_wt_rep1,CD34+ cell,none,molnc301b_wt overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464830
SRR15208778,21612586,6483775800,150,2218,SRX11515229,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553044,SAMN20342391,simple,9606,Homo sapiens,GSM5464831,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_wt_rep2,CD34+ cell,none,molnc301b_wt overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464831
SRR15208779,25234234,7570270200,150,2623,SRX11515230,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553045,SAMN20342390,simple,9606,Homo sapiens,GSM5464832,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_m1_rep1,CD34+ cell,none,molnc301b_m1 overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464832
SRR15208780,23279830,6983949000,150,2692,SRX11515231,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553046,SAMN20342389,simple,9606,Homo sapiens,GSM5464833,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_m1_rep2,CD34+ cell,none,molnc301b_m1 overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464833
SRR15208781,25996255,7798876500,150,2294,SRX11515232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553047,SAMN20342388,simple,9606,Homo sapiens,GSM5464834,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_m2_rep1,CD34+ cell,none,molnc301b_m2 overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464834
SRR15208782,27307721,8192316300,150,2411,SRX11515233,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553048,SAMN20342377,simple,9606,Homo sapiens,GSM5464835,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_m2_rep2,CD34+ cell,none,molnc301b_m2 overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464835
SRR15208783,19903524,5971057200,150,2084,SRX11515234,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553049,SAMN20342427,simple,9606,Homo sapiens,GSM5464836,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_del_rep1,CD34+ cell,none,molnc301b_del overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464836
SRR15208784,24719824,7415947200,150,2588,SRX11515235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553050,SAMN20342426,simple,9606,Homo sapiens,GSM5464837,GEO,SRA1262461,10,2023,"",CD34+ cell,OE_molnc301b_del_rep2,CD34+ cell,none,molnc301b_del overexpression,cord blood CD34+ derived erythroid cells,Poly(A)+ RNA-seq,GSM5464837
SRR15208785,66445616,19933684800,150,7429,SRX11515236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553051,SAMN20342425,simple,9606,Homo sapiens,GSM5464838,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_Ctrl_rep1,K562 cell line,none,empty vector,K562 cell line,RNA-seq,GSM5464838
SRR15208786,79292325,23787697500,150,9448,SRX11515237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553052,SAMN20342424,simple,9606,Homo sapiens,GSM5464839,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_Ctrl_rep2,K562 cell line,none,empty vector,K562 cell line,RNA-seq,GSM5464839
SRR15208787,82716273,24814881900,150,9363,SRX11515238,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553053,SAMN20342423,simple,9606,Homo sapiens,GSM5464840,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_wt_rep1,K562 cell line,none,molnc301b_wt overexpression,K562 cell line,RNA-seq,GSM5464840
SRR15208788,82185819,24655745700,150,9914,SRX11515239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553054,SAMN20342422,simple,9606,Homo sapiens,GSM5464841,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_wt_rep2,K562 cell line,none,molnc301b_wt overexpression,K562 cell line,RNA-seq,GSM5464841
SRR15208789,83985591,25195677300,150,10180,SRX11515240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553055,SAMN20342421,simple,9606,Homo sapiens,GSM5464842,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_m1_rep1,K562 cell line,none,molnc301b_m1 overexpression,K562 cell line,RNA-seq,GSM5464842
SRR15208790,90625891,27187767300,150,10838,SRX11515241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553056,SAMN20342420,simple,9606,Homo sapiens,GSM5464843,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_m1_rep2,K562 cell line,none,molnc301b_m1 overexpression,K562 cell line,RNA-seq,GSM5464843
SRR15208791,79720852,23916255600,150,9642,SRX11515242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553057,SAMN20342419,simple,9606,Homo sapiens,GSM5464844,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_m2_rep1,K562 cell line,none,molnc301b_m2 overexpression,K562 cell line,RNA-seq,GSM5464844
SRR15208792,96410433,28923129900,150,11512,SRX11515243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553058,SAMN20342418,simple,9606,Homo sapiens,GSM5464845,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_m2_rep2,K562 cell line,none,molnc301b_m2 overexpression,K562 cell line,RNA-seq,GSM5464845
SRR15208793,47296813,14189043900,150,5443,SRX11515244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553059,SAMN20342417,simple,9606,Homo sapiens,GSM5464846,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_del_rep1,K562 cell line,none,molnc301b_del overexpression,K562 cell line,RNA-seq,GSM5464846
SRR15208794,83075111,24922533300,150,9990,SRX11515245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553060,SAMN20342416,simple,9606,Homo sapiens,GSM5464847,GEO,SRA1262461,10,2023,"",K562 cell line,RNA_molnc301b_del_rep2,K562 cell line,none,molnc301b_del overexpression,K562 cell line,RNA-seq,GSM5464847
SRR15208795,42465672,12739701600,150,5073,SRX11515246,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553061,SAMN20342415,simple,9606,Homo sapiens,GSM5464848,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_Ctrl_rep1,K562 cell line,none,empty vector,K562 cell line,Ribo-seq,GSM5464848
SRR15208796,66711879,20013563700,150,8177,SRX11515247,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553062,SAMN20342414,simple,9606,Homo sapiens,GSM5464849,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_Ctrl_rep2,K562 cell line,none,empty vector,K562 cell line,Ribo-seq,GSM5464849
SRR15208797,31532016,9459604800,150,3584,SRX11515248,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553063,SAMN20342413,simple,9606,Homo sapiens,GSM5464850,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_wt_rep1,K562 cell line,none,molnc301b_wt overexpression,K562 cell line,Ribo-seq,GSM5464850
SRR15208798,50361884,15108565200,150,6181,SRX11515249,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553064,SAMN20342428,simple,9606,Homo sapiens,GSM5464851,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_wt_rep2,K562 cell line,none,molnc301b_wt overexpression,K562 cell line,Ribo-seq,GSM5464851
SRR15208799,66916738,20075021400,150,8319,SRX11515250,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553065,SAMN20342384,simple,9606,Homo sapiens,GSM5464852,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_m1_rep1,K562 cell line,none,molnc301b_m1 overexpression,K562 cell line,Ribo-seq,GSM5464852
SRR15208800,59074021,17722206300,150,7328,SRX11515251,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553066,SAMN20342383,simple,9606,Homo sapiens,GSM5464853,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_m1_rep2,K562 cell line,none,molnc301b_m1 overexpression,K562 cell line,Ribo-seq,GSM5464853
SRR15208801,70515274,21154582200,150,8741,SRX11515252,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553067,SAMN20342382,simple,9606,Homo sapiens,GSM5464854,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_m2_rep1,K562 cell line,none,molnc301b_m2 overexpression,K562 cell line,Ribo-seq,GSM5464854
SRR15208802,68530090,20559027000,150,8376,SRX11515253,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553068,SAMN20342381,simple,9606,Homo sapiens,GSM5464855,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_m2_rep2,K562 cell line,none,molnc301b_m2 overexpression,K562 cell line,Ribo-seq,GSM5464855
SRR15208803,31531300,9459390000,150,3548,SRX11515254,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553069,SAMN20342380,simple,9606,Homo sapiens,GSM5464856,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_del_rep1,K562 cell line,none,molnc301b_del overexpression,K562 cell line,Ribo-seq,GSM5464856
SRR15208804,39728731,11918619300,150,4867,SRX11515255,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS9553070,SAMN20342379,simple,9606,Homo sapiens,GSM5464857,GEO,SRA1262461,10,2023,"",K562 cell line,RPF_molnc301b_del_rep2,K562 cell line,none,molnc301b_del overexpression,K562 cell line,Ribo-seq,GSM5464857
SRR15208805,22111925,6633577500,150,1996,SRX11515256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553071,SAMN20342378,simple,9606,Homo sapiens,GSM5464858,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_0hr_RNA_rep1,K562 cell line,none,none,K562 cell line,Poly(A)+ RNA-seq,GSM5464858
SRR15208806,22187370,6656211000,150,2003,SRX11515257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553072,SAMN20342435,simple,9606,Homo sapiens,GSM5464859,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_0hr_RNA_rep2,K562 cell line,none,none,K562 cell line,Poly(A)+ RNA-seq,GSM5464859
SRR15208807,19579698,5873909400,150,1767,SRX11515258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553073,SAMN20342434,simple,9606,Homo sapiens,GSM5464860,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_3hr_RNA_rep1,K562 cell line,none,ActD 3hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464860
SRR15208808,21529341,6458802300,150,1939,SRX11515259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553074,SAMN20342433,simple,9606,Homo sapiens,GSM5464861,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_3hr_RNA_rep2,K562 cell line,none,ActD 3hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464861
SRR15208809,23047292,6914187600,150,2079,SRX11515260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553075,SAMN20342432,simple,9606,Homo sapiens,GSM5464862,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_6hr_RNA_rep1,K562 cell line,none,ActD 6hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464862
SRR15208810,22266038,6679811400,150,2013,SRX11515261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553076,SAMN20342431,simple,9606,Homo sapiens,GSM5464863,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_6hr_RNA_rep2,K562 cell line,none,ActD 6hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464863
SRR15208811,22407430,6722229000,150,2020,SRX11515262,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553077,SAMN20342430,simple,9606,Homo sapiens,GSM5464864,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_8hr_RNA_rep1,K562 cell line,none,ActD 8hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464864
SRR15208812,21038963,6311688900,150,1891,SRX11515263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP329295,PRJNA748710,,"",SRS9553078,SAMN20342429,simple,9606,Homo sapiens,GSM5464865,GEO,SRA1262461,10,2023,"",K562 cell line,ActD_8hr_RNA_rep2,K562 cell line,none,ActD 8hr,K562 cell line,Poly(A)+ RNA-seq,GSM5464865
SRR26088250,4128577,1238573100,150,474,SRX21802899,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP329295,PRJNA748710,,"",SRS18903899,SAMN37434782,simple,9606,Homo sapiens,GSM7785532,GEO,SRA1262461,10,2023,"",K562 cell line,molnc301b_LacZ,K562 cell line,LacZ,none,K562 cell line,ChIRP-seq,GSM7785532
