Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,growth phase,media,strain,genotype,cdna type,GEO Accession
SRR2733443,16000000,8e+08,50,289,SRX1357232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123040,SAMN04196688,simple,1280,Staphylococcus aureus,GSM1914378,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914389
SRR2733444,5889984,294499200,50,110,SRX1357232,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123040,SAMN04196688,simple,1280,Staphylococcus aureus,GSM1914378,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914390
SRR2733445,16000000,8e+08,50,247,SRX1357233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123039,SAMN04196689,simple,1280,Staphylococcus aureus,GSM1914379,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914375
SRR2733446,16000000,8e+08,50,250,SRX1357233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123039,SAMN04196689,simple,1280,Staphylococcus aureus,GSM1914379,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914376
SRR2733447,16000000,8e+08,50,252,SRX1357233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123039,SAMN04196689,simple,1280,Staphylococcus aureus,GSM1914379,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914377
SRR2733448,4091470,204573500,50,67,SRX1357233,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123039,SAMN04196689,simple,1280,Staphylococcus aureus,GSM1914379,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914378
SRR2733449,16000000,8e+08,50,271,SRX1357234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123034,SAMN04196690,simple,1280,Staphylococcus aureus,GSM1914380,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914379
SRR2733450,16000000,8e+08,50,274,SRX1357234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123034,SAMN04196690,simple,1280,Staphylococcus aureus,GSM1914380,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914380
SRR2733451,16000000,8e+08,50,275,SRX1357234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123034,SAMN04196690,simple,1280,Staphylococcus aureus,GSM1914380,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914381
SRR2733452,2132733,106636650,50,38,SRX1357234,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123034,SAMN04196690,simple,1280,Staphylococcus aureus,GSM1914380,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914382
SRR2733453,16000000,8e+08,50,280,SRX1357235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123033,SAMN04196691,simple,1280,Staphylococcus aureus,GSM1914381,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914383
SRR2733454,16000000,8e+08,50,284,SRX1357235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123033,SAMN04196691,simple,1280,Staphylococcus aureus,GSM1914381,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914384
SRR2733455,10750886,537544300,50,194,SRX1357235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123033,SAMN04196691,simple,1280,Staphylococcus aureus,GSM1914381,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914385
SRR2733456,16000000,8e+08,50,295,SRX1357236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123032,SAMN04196692,simple,1280,Staphylococcus aureus,GSM1914382,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914386
SRR2733457,16000000,8e+08,50,297,SRX1357236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123032,SAMN04196692,simple,1280,Staphylococcus aureus,GSM1914382,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914387
SRR2733458,16000000,8e+08,50,299,SRX1357236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123032,SAMN04196692,simple,1280,Staphylococcus aureus,GSM1914382,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914388
SRR2733459,5812228,290611400,50,111,SRX1357236,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123032,SAMN04196692,simple,1280,Staphylococcus aureus,GSM1914382,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_MM_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914389
SRR2733460,16000000,8e+08,50,259,SRX1357237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123031,SAMN04196693,simple,1280,Staphylococcus aureus,GSM1914383,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_WT_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914390
SRR2733461,13895704,694785200,50,228,SRX1357237,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123031,SAMN04196693,simple,1280,Staphylococcus aureus,GSM1914383,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_WT_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914375
SRR2733462,16000000,8e+08,50,279,SRX1357238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123030,SAMN04196694,simple,1280,Staphylococcus aureus,GSM1914384,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914376
SRR2733463,16000000,8e+08,50,284,SRX1357238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123030,SAMN04196694,simple,1280,Staphylococcus aureus,GSM1914384,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914377
SRR2733464,16000000,8e+08,50,282,SRX1357238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123030,SAMN04196694,simple,1280,Staphylococcus aureus,GSM1914384,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914378
SRR2733465,4313498,215674900,50,80,SRX1357238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123030,SAMN04196694,simple,1280,Staphylococcus aureus,GSM1914384,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914379
SRR2733466,16000000,8e+08,50,313,SRX1357239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123029,SAMN04196695,simple,1280,Staphylococcus aureus,GSM1914385,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914380
SRR2733467,10464778,523238900,50,208,SRX1357239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123029,SAMN04196695,simple,1280,Staphylococcus aureus,GSM1914385,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914381
SRR2733468,16000000,8e+08,50,309,SRX1357240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123028,SAMN04196696,simple,1280,Staphylococcus aureus,GSM1914386,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914382
SRR2733469,16000000,8e+08,50,315,SRX1357240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123028,SAMN04196696,simple,1280,Staphylococcus aureus,GSM1914386,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914383
SRR2733470,8364933,418246650,50,167,SRX1357240,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123028,SAMN04196696,simple,1280,Staphylococcus aureus,GSM1914386,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep1_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914384
SRR2733471,16000000,8e+08,50,260,SRX1357241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123027,SAMN04196697,simple,1280,Staphylococcus aureus,GSM1914387,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914385
SRR2733472,16000000,8e+08,50,265,SRX1357241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123027,SAMN04196697,simple,1280,Staphylococcus aureus,GSM1914387,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914386
SRR2733473,9946206,497310300,50,169,SRX1357241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123027,SAMN04196697,simple,1280,Staphylococcus aureus,GSM1914387,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914387
SRR2733474,16000000,8e+08,50,251,SRX1357242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123026,SAMN04196698,simple,1280,Staphylococcus aureus,GSM1914388,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914388
SRR2733475,16000000,8e+08,50,256,SRX1357242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123026,SAMN04196698,simple,1280,Staphylococcus aureus,GSM1914388,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914389
SRR2733476,9098581,454929050,50,150,SRX1357242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123026,SAMN04196698,simple,1280,Staphylococcus aureus,GSM1914388,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_RPF,Bacterial cells,Exponentially growing S. aureus,TSB,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914390
SRR2733477,16000000,8e+08,50,301,SRX1357243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123025,SAMN04196699,simple,1280,Staphylococcus aureus,GSM1914389,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914375
SRR2733478,16000000,8e+08,50,305,SRX1357243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123025,SAMN04196699,simple,1280,Staphylococcus aureus,GSM1914389,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914376
SRR2733479,9841175,492058750,50,192,SRX1357243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123025,SAMN04196699,simple,1280,Staphylococcus aureus,GSM1914389,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_WT_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,total fragmented mRNA,GSM1914377
SRR2733480,16000000,8e+08,50,300,SRX1357244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123024,SAMN04196700,simple,1280,Staphylococcus aureus,GSM1914390,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,total fragmented mRNA,GSM1914378
SRR2733481,16000000,8e+08,50,305,SRX1357244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123024,SAMN04196700,simple,1280,Staphylococcus aureus,GSM1914390,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,wildtype,Ribosome protected mRNA fragments,GSM1914379
SRR2733482,15690073,784503650,50,299,SRX1357244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065033,PRJNA299306,30297357,"",SRS1123024,SAMN04196700,simple,1280,Staphylococcus aureus,GSM1914390,GEO,SRA306273,03,2016,Basu,Bacterial cells,Rep2_TSB_Δhpf_Total mRNA,Bacterial cells,Exponentially growing S. aureus,MM,USA300_FPR3757,delta_hpf,Ribosome protected mRNA fragments,GSM1914380
