Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,dev_stage,collection_date,geo_loc_name,sex,tissue,biomaterial_provider,collected_by,genotype,growth_protocol,sample_type,sample number,replicate,BioSampleModel
SRR27489765,54752085,16535129670,151,5052,SRX23160944,Library_19,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111102,SAMN39093352,simple,7955,Danio rerio,MPRA_repB_fractions_6_7_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 2hpf replica B,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,19,replicate B,Model organism or animal
SRR27489764,41438557,12514444214,151,3828,SRX23160945,Library_20,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111103,SAMN39093353,simple,7955,Danio rerio,MPRA_repB_fractions_8_9_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 2hpf replica B,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,20,replicate B,Model organism or animal
SRR27489763,41470868,12524202136,151,3867,SRX23160946,Library_3,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111108,SAMN39093336,simple,7955,Danio rerio,MPRA_repA_fractions_6_7_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 2hpf replica A,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,3,replicate A,Model organism or animal
SRR27489762,47954723,14482326346,151,4470,SRX23160947,Library_21,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111104,SAMN39093354,simple,7955,Danio rerio,MPRA_repB_input_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 4hpf replica B,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,21,replicate B,Model organism or animal
SRR27489761,39530631,11938250562,151,3689,SRX23160948,Library_22,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111105,SAMN39093355,simple,7955,Danio rerio,MPRA_repB_fractions_4_5_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 4hpf replica B,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,22,replicate B,Model organism or animal
SRR27489760,43763422,13216553444,151,4045,SRX23160949,Library_23,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111106,SAMN39093356,simple,7955,Danio rerio,MPRA_repB_fractions_6_7_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 4hpf replica B,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,23,replicate B,Model organism or animal
SRR27489759,38413139,11600767978,151,3561,SRX23160950,Library_24,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111107,SAMN39093357,simple,7955,Danio rerio,MPRA_repB_fractions_8_9_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 4hpf replica B,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,24,replicate B,Model organism or animal
SRR27489758,33622149,10153888998,151,3167,SRX23160951,Library_25,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111109,SAMN39093358,simple,7955,Danio rerio,MPRA_repB_input_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 6hpf replica B,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,25,replicate B,Model organism or animal
SRR27489757,35179676,10624262152,151,3340,SRX23160952,Library_26,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111111,SAMN39093359,simple,7955,Danio rerio,MPRA_repB_fractions_4_5_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 6hpf replica B,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,26,replicate B,Model organism or animal
SRR27489756,45490940,13738263880,151,4193,SRX23160953,Library_27,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111110,SAMN39093360,simple,7955,Danio rerio,MPRA_repB_fractions_6_7_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 6hpf replica B,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,27,replicate B,Model organism or animal
SRR27489755,41743878,12606651156,151,3866,SRX23160954,Library_28,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111122,SAMN39093361,simple,7955,Danio rerio,MPRA_repB_fractions_8_9_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 6hpf replica B,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,28,replicate B,Model organism or animal
SRR27489754,41695483,12592035866,151,3914,SRX23160955,Library_29,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111112,SAMN39093362,simple,7955,Danio rerio,MPRA_repB_input_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 10hpf replica B,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,29,replicate B,Model organism or animal
SRR27489753,51211428,15465851256,151,4738,SRX23160956,Library_30,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111113,SAMN39093363,simple,7955,Danio rerio,MPRA_repB_fractions_4_5_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 10hpf replica B,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,30,replicate B,Model organism or animal
SRR27489752,40094789,12108626278,151,3716,SRX23160957,Library_4,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111114,SAMN39093337,simple,7955,Danio rerio,MPRA_repA_fractions_8_9_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 2hpf replica A,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,4,replicate A,Model organism or animal
SRR27489751,37046193,11187950286,151,3397,SRX23160958,Library_31,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111115,SAMN39093364,simple,7955,Danio rerio,MPRA_repB_fractions_6_7_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 10hpf replica B,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,31,replicate B,Model organism or animal
SRR27489750,41996933,12683073766,151,3861,SRX23160959,Library_32,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111116,SAMN39093365,simple,7955,Danio rerio,MPRA_repB_fractions_8_9_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 10hpf replica B,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,32,replicate B,Model organism or animal
SRR27489749,38977580,11771229160,151,3638,SRX23160960,Library_33,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111117,SAMN39093366,simple,7955,Danio rerio,MPRA_repC_input_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 2hpf replica C,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,33,replicate C,Model organism or animal
SRR27489748,51096626,15431181052,151,4725,SRX23160961,Library_34,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111118,SAMN39093367,simple,7955,Danio rerio,MPRA_repC_fractions_4_5_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 2hpf replica C,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,34,replicate C,Model organism or animal
SRR27489747,55124907,16647721914,151,5087,SRX23160962,Library_35,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111119,SAMN39093368,simple,7955,Danio rerio,MPRA_repC_fractions_6_7_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 2hpf replica C,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,35,replicate C,Model organism or animal
SRR27489746,43329664,13085558528,151,3999,SRX23160963,Library_36,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111121,SAMN39093369,simple,7955,Danio rerio,MPRA_repC_fractions_8_9_2hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 2hpf replica C,TLAB,2 hpf,64-cells,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,36,replicate C,Model organism or animal
SRR27489745,36176496,10925301792,151,3410,SRX23160964,Library_37,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111120,SAMN39093370,simple,7955,Danio rerio,MPRA_repC_input_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 4hpf replica C,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,37,replicate C,Model organism or animal
SRR27489744,46689415,14100203330,151,4296,SRX23160965,Library_38,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111123,SAMN39093371,simple,7955,Danio rerio,MPRA_repC_fractions_4_5_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 4hpf replica C,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,38,replicate C,Model organism or animal
SRR27489743,40219122,12146174844,151,3728,SRX23160966,Library_39,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111124,SAMN39093372,simple,7955,Danio rerio,MPRA_repC_fractions_6_7_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 4hpf replica C,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,39,replicate C,Model organism or animal
SRR27489742,55808641,16854209582,151,5209,SRX23160967,Library_40,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111126,SAMN39093373,simple,7955,Danio rerio,MPRA_repC_fractions_8_9_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 4hpf replica C,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,40,replicate C,Model organism or animal
SRR27489741,45137533,13631534966,151,4223,SRX23160968,Library_5,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111133,SAMN39093338,simple,7955,Danio rerio,MPRA_repA_input_4hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 4hpf replica A,TLAB,4 hpf,sphere,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,5,replicate A,Model organism or animal
SRR27489740,35957229,10859083158,151,3368,SRX23160969,Library_41,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111125,SAMN39093374,simple,7955,Danio rerio,MPRA_repC_input_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 6hpf replica C,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,41,replicate C,Model organism or animal
SRR27489739,54518634,16464627468,151,5075,SRX23160970,Library_42,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111127,SAMN39093375,simple,7955,Danio rerio,MPRA_repC_fractions_4_5_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 6hpf replica C,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,42,replicate C,Model organism or animal
SRR27489738,49378023,14912162946,151,4613,SRX23160971,Library_43,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111128,SAMN39093376,simple,7955,Danio rerio,MPRA_repC_fractions_6_7_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 6hpf replica C,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,43,replicate C,Model organism or animal
SRR27489737,48034158,14506315716,151,4423,SRX23160972,Library_44,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111129,SAMN39093377,simple,7955,Danio rerio,MPRA_repC_fractions_8_9_6hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 6hpf replica C,TLAB,6 hpf,shield,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,44,replicate C,Model organism or animal
SRR27489736,50159117,15148053334,151,4677,SRX23160973,Library_45,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111130,SAMN39093378,simple,7955,Danio rerio,MPRA_repC_input_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",Total 10hpf replica C,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,45,replicate C,Model organism or animal
SRR27489735,62122905,18761117310,151,5789,SRX23160974,Library_46,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111131,SAMN39093379,simple,7955,Danio rerio,MPRA_repC_fractions_4_5_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",80S fraction 10hpf replica C,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,46,replicate C,Model organism or animal
SRR27489734,53681874,16211925948,151,5015,SRX23160975,Library_47,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111132,SAMN39093380,simple,7955,Danio rerio,MPRA_repC_fractions_6_7_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",LMW fraction 10hpf replica C,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,47,replicate C,Model organism or animal
SRR27489733,53228184,16074911568,151,4880,SRX23160976,Library_48,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111134,SAMN39093381,simple,7955,Danio rerio,MPRA_repC_fractions_8_9_10hpf,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",HMW fraction 10hpf replica C,TLAB,10 hpf,bud,2022-05-16,Switzerland: Basel,not applicable,whole embryo,Schier lab,Madalena M. Reimao Pinto,WT,E3 buffer standard conditions,100 embryos,48,replicate C,Model organism or animal
SRR27489732,44599947,13469183994,151,4204,SRX23160977,Library_49,OTHER,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP483112,PRJNA1056276,,"",SRS20111135,SAMN39093382,simple,7955,Danio rerio,DNA_MPRA_library,University of Basel,SRA1775336,11,2024,M. Reimao Pinto,"",control DNA library,not applicable,not applicable,not applicable,2022-05-16,Switzerland: Basel,not applicable,not applicable,Schier lab,Madalena M. Reimao Pinto,not applicable,not applicable,dsDNA,49,unique sample,Model organism or animal
