Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,culture condition,molecule subtype,genotype,geo_loc_name,collection_date
SRR25592727,75423634,4517876763,59,1722,SRX21321103,GSM7699289,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568533,SAMN36920130,simple,4932,Saccharomyces cerevisiae,GSM7699289,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_90m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592726,89545780,5363570353,59,2054,SRX21321104,GSM7699290,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568535,SAMN36920129,simple,4932,Saccharomyces cerevisiae,GSM7699290,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,CytoRP_90m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,cytoribosome-associated RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592725,58680117,4385940499,74,1549,SRX21321105,GSM7699291,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568537,SAMN36920128,simple,4932,Saccharomyces cerevisiae,GSM7699291,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_0m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592724,41602175,3110640061,74,1172,SRX21321106,GSM7699292,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568536,SAMN36920127,simple,4932,Saccharomyces cerevisiae,GSM7699292,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_0m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592723,51610391,3858858916,74,1359,SRX21321107,GSM7699293,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568538,SAMN36920126,simple,4932,Saccharomyces cerevisiae,GSM7699293,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_20m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592722,58557685,4377925274,74,1647,SRX21321108,GSM7699294,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568539,SAMN36920125,simple,4932,Saccharomyces cerevisiae,GSM7699294,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_20m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592721,55835980,4174827993,74,1471,SRX21321109,GSM7699295,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568541,SAMN36920124,simple,4932,Saccharomyces cerevisiae,GSM7699295,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_40m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592720,47714168,3568218530,74,1334,SRX21321110,GSM7699296,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568540,SAMN36920123,simple,4932,Saccharomyces cerevisiae,GSM7699296,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_50m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592719,59298830,4431743671,74,1577,SRX21321111,GSM7699297,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568542,SAMN36920122,simple,4932,Saccharomyces cerevisiae,GSM7699297,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_60m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592718,50697141,3791953321,74,1424,SRX21321112,GSM7699298,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568543,SAMN36920121,simple,4932,Saccharomyces cerevisiae,GSM7699298,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_60m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592717,70300653,5263956923,74,1826,SRX21321113,GSM7699299,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568544,SAMN36920120,simple,4932,Saccharomyces cerevisiae,GSM7699299,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_70m_1,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
SRR25592716,102507434,7662855454,74,2864,SRX21321114,GSM7699300,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP454359,PRJNA1003962,38452761,"",SRS18568546,SAMN36920119,simple,4932,Saccharomyces cerevisiae,GSM7699300,"Stirling Churchman, Genetics, Harvard Medical School",SRA1689925,02,2024,Litsios,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,RNAseq_70m_2,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1Δ::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1Δ ura3Δ0 his3Δ1 leu2Δ0 met15Δ0,YEPD,rRNA-depleted RNA,MATa DAD2-GFP::HIS3 CAN1pr::TDH3pr-E2Crimson::HPH::can1{delta}::STE2pr-LEU2 HTA2-mCherry::CaURA3 CDC11-TagRFP::natMX lyp1{delta} ura3{delta}0 his3{delta}1 leu2{delta}0 met15{delta}0,missing,missing
