Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,treatment,geo_loc_name,collection_date
SRR29088275,50587883,15176364900,150,4947,SRX24612413,GSM8281113,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349659,SAMN41462779,simple,10090,Mus musculus,GSM8281113,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI47_1st,bone marrow,bone marrow,WT,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088274,14834217,4450265100,150,1490,SRX24612414,GSM8281114,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349660,SAMN41462778,simple,10090,Mus musculus,GSM8281114,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI48_1st,bone marrow,bone marrow,Mat-KO,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088273,151626092,45487827600,150,14776,SRX24612415,GSM8281115,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349662,SAMN41462777,simple,10090,Mus musculus,GSM8281115,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI37_2nd,bone marrow,bone marrow,T cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088272,123133237,36939971100,150,12130,SRX24612416,GSM8281116,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349661,SAMN41462776,simple,10090,Mus musculus,GSM8281116,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI38_2nd,bone marrow,bone marrow,B cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088271,124485504,37345651200,150,12196,SRX24612417,GSM8281117,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349663,SAMN41462775,simple,10090,Mus musculus,GSM8281117,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI39_2nd,bone marrow,bone marrow,Myeloid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088270,200486135,60145840500,150,19979,SRX24612418,GSM8281118,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349664,SAMN41462774,simple,10090,Mus musculus,GSM8281118,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI40_2nd,bone marrow,bone marrow,Erythoid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088269,116229816,34868944800,150,11381,SRX24612419,GSM8281119,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349665,SAMN41462773,simple,10090,Mus musculus,GSM8281119,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI41_2nd,bone marrow,bone marrow,MEP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088268,57551545,17265463500,150,5705,SRX24612420,GSM8281120,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349666,SAMN41462772,simple,10090,Mus musculus,GSM8281120,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI42_2nd,bone marrow,bone marrow,GMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088267,118435721,35530716300,150,11801,SRX24612421,GSM8281121,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349667,SAMN41462771,simple,10090,Mus musculus,GSM8281121,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI43_2nd,bone marrow,bone marrow,CMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088266,159370859,47811257700,150,15642,SRX24612422,GSM8281122,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349670,SAMN41462770,simple,10090,Mus musculus,GSM8281122,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI44_2nd,bone marrow,bone marrow,CLP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088265,121535227,36460568100,150,11892,SRX24612423,GSM8281123,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349668,SAMN41462769,simple,10090,Mus musculus,GSM8281123,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI45_2nd,bone marrow,bone marrow,LT-HSC,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088264,108713087,32613926100,150,10799,SRX24612424,GSM8281124,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349669,SAMN41462768,simple,10090,Mus musculus,GSM8281124,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI46_2nd,bone marrow,bone marrow,MPP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088263,91754106,27526231800,150,8996,SRX24612425,GSM8281125,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349671,SAMN41462767,simple,10090,Mus musculus,GSM8281125,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI47_2nd,bone marrow,bone marrow,WT,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088262,27411705,8223511500,150,2750,SRX24612426,GSM8281126,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349672,SAMN41462766,simple,10090,Mus musculus,GSM8281126,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF_A1-RPI48_2nd,bone marrow,bone marrow,Mat-KO,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088261,129576801,38873040300,150,13673,SRX24612427,GSM8281127,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349673,SAMN41462765,simple,10090,Mus musculus,GSM8281127,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI37_3rd,bone marrow,bone marrow,T cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088260,103645976,31093792800,150,11034,SRX24612428,GSM8281128,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349674,SAMN41462764,simple,10090,Mus musculus,GSM8281128,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI38_3rd,bone marrow,bone marrow,B cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088259,104857268,31457180400,150,11090,SRX24612429,GSM8281129,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349675,SAMN41462763,simple,10090,Mus musculus,GSM8281129,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI39_3rd,bone marrow,bone marrow,Myeloid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088258,169605600,50881680000,150,18473,SRX24612430,GSM8281130,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349677,SAMN41462762,simple,10090,Mus musculus,GSM8281130,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI40_3rd,bone marrow,bone marrow,Erythoid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088257,97597250,29279175000,150,10334,SRX24612431,GSM8281131,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349676,SAMN41462761,simple,10090,Mus musculus,GSM8281131,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI41_3rd,bone marrow,bone marrow,MEP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088256,49593848,14878154400,150,5297,SRX24612432,GSM8281132,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349679,SAMN41462760,simple,10090,Mus musculus,GSM8281132,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI42_3rd,bone marrow,bone marrow,GMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088255,100199440,30059832000,150,10851,SRX24612433,GSM8281133,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349678,SAMN41462759,simple,10090,Mus musculus,GSM8281133,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI43_3rd,bone marrow,bone marrow,CMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088254,141958993,42587697900,150,15045,SRX24612434,GSM8281134,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349680,SAMN41462758,simple,10090,Mus musculus,GSM8281134,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI44_3rd,bone marrow,bone marrow,CLP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088253,104117590,31235277000,150,10983,SRX24612435,GSM8281135,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349681,SAMN41462757,simple,10090,Mus musculus,GSM8281135,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI45_3rd,bone marrow,bone marrow,LT-HSC,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088252,91441871,27432561300,150,9889,SRX24612436,GSM8281136,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349682,SAMN41462756,simple,10090,Mus musculus,GSM8281136,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI46_3rd,bone marrow,bone marrow,MPP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088251,77757825,23327347500,150,8243,SRX24612437,GSM8281137,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349683,SAMN41462755,simple,10090,Mus musculus,GSM8281137,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI47_3rd,bone marrow,bone marrow,WT,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088250,23085316,6925594800,150,2517,SRX24612438,GSM8281138,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349685,SAMN41462754,simple,10090,Mus musculus,GSM8281138,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI48_3rd,bone marrow,bone marrow,Mat-KO,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088249,194365202,58309560600,150,20811,SRX24612439,GSM8281139,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349684,SAMN41462753,simple,10090,Mus musculus,GSM8281139,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI37_4th,bone marrow,bone marrow,T cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088248,155468963,46640688900,150,16772,SRX24612440,GSM8281140,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349686,SAMN41462752,simple,10090,Mus musculus,GSM8281140,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI38_4th,bone marrow,bone marrow,B cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088247,157285902,47185770600,150,16878,SRX24612441,GSM8281141,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349688,SAMN41462751,simple,10090,Mus musculus,GSM8281141,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI39_4th,bone marrow,bone marrow,Myeloid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088246,254408399,76322519700,150,28074,SRX24612442,GSM8281142,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349687,SAMN41462750,simple,10090,Mus musculus,GSM8281142,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI40_4th,bone marrow,bone marrow,Erythoid cell,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088245,146396254,43918876200,150,15721,SRX24612443,GSM8281143,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349689,SAMN41462749,simple,10090,Mus musculus,GSM8281143,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI41_4th,bone marrow,bone marrow,MEP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088244,74390772,22317231600,150,8048,SRX24612444,GSM8281144,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349690,SAMN41462748,simple,10090,Mus musculus,GSM8281144,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI42_4th,bone marrow,bone marrow,GMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088243,150299170,45089751000,150,16479,SRX24612445,GSM8281145,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349691,SAMN41462747,simple,10090,Mus musculus,GSM8281145,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI43_4th,bone marrow,bone marrow,CMP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088242,212938488,63881546400,150,22898,SRX24612446,GSM8281146,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349692,SAMN41462746,simple,10090,Mus musculus,GSM8281146,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI44_4th,bone marrow,bone marrow,CLP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088241,156176386,46852915800,150,16709,SRX24612447,GSM8281147,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349694,SAMN41462745,simple,10090,Mus musculus,GSM8281147,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI45_4th,bone marrow,bone marrow,LT-HSC,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088240,137162806,41148841800,150,15034,SRX24612448,GSM8281148,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349693,SAMN41462744,simple,10090,Mus musculus,GSM8281148,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI46_4th,bone marrow,bone marrow,MPP,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088239,116636740,34991022000,150,12544,SRX24612449,GSM8281149,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349696,SAMN41462743,simple,10090,Mus musculus,GSM8281149,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI47_4th,bone marrow,bone marrow,WT,low-input Ribo-seq (160 cells/type),missing,missing
SRR29088238,34627975,10388392500,150,3822,SRX24612450,GSM8281150,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP508761,PRJNA1113597,,"",SRS21349695,SAMN41462742,simple,10090,Mus musculus,GSM8281150,Peking Union Medical College,SRA1871999,10,2024,Wang,bone marrow,M12RPF-JC_A1-RPI48_4th,bone marrow,bone marrow,Mat-KO,low-input Ribo-seq (160 cells/type),missing,missing
